age,balance,day,duration,campaign,job,marital,education,default,housing,loan,contact,month,y
45,586,14,168,2,blue-collar,married,unknown,no,no,no,cellular,aug,0
39,94,29,430,1,blue-collar,divorced,secondary,no,yes,no,unknown,may,0
32,1010,16,924,1,management,single,tertiary,no,yes,no,cellular,jul,0
31,985,17,997,1,technician,single,tertiary,no,yes,no,cellular,apr,1
37,1134,9,142,3,entrepreneur,married,unknown,no,yes,no,unknown,jun,0
36,635,26,80,1,admin,single,tertiary,no,no,no,cellular,may,0
32,1974,4,775,1,unemployed,single,tertiary,no,no,no,cellular,feb,0
20,-172,19,238,3,blue-collar,married,primary,no,yes,yes,unknown,may,0
47,175,26,102,7,admin,married,secondary,no,yes,no,cellular,aug,0
44,1335,30,94,5,services,married,secondary,no,yes,no,cellular,jul,0
35,13460,15,1068,3,technician,single,tertiary,no,yes,no,cellular,may,1
41,252,15,57,2,entrepreneur,divorced,tertiary,no,no,no,unknown,may,0
36,211,9,93,2,services,married,secondary,no,yes,no,unknown,may,0
57,2516,15,1036,1,retired,divorced,tertiary,no,yes,no,unknown,may,0
32,1806,21,126,4,services,single,primary,no,no,yes,cellular,jul,0
29,433,9,247,1,technician,single,tertiary,no,yes,no,unknown,may,0
34,1157,21,103,2,services,single,secondary,no,yes,no,unknown,may,0
47,1230,12,378,1,blue-collar,married,secondary,no,yes,no,telephone,nov,1
23,1003,27,8,1,unemployed,single,primary,no,no,no,telephone,nov,1
52,798,30,123,2,management,married,primary,no,yes,no,unknown,jun,0
41,3947,29,63,2,management,single,tertiary,no,no,no,telephone,jul,0
32,745,31,11,20,self-employed,divorced,tertiary,no,yes,yes,cellular,jul,0
29,0,11,314,2,services,single,secondary,no,yes,no,cellular,jul,0
34,66,3,11,6,admin,divorced,secondary,no,no,no,cellular,feb,0
54,4816,9,406,1,management,married,secondary,no,no,yes,cellular,jul,0
51,10287,29,117,1,blue-collar,divorced,unknown,no,yes,no,unknown,may,0
37,3653,8,525,1,blue-collar,married,secondary,no,yes,no,cellular,may,0
59,413,9,109,5,retired,married,primary,no,yes,yes,cellular,feb,0
35,1078,31,48,4,management,married,tertiary,no,yes,no,cellular,jul,0
34,1068,18,46,6,entrepreneur,single,tertiary,no,yes,no,cellular,may,0
31,0,13,160,1,entrepreneur,single,secondary,no,no,no,telephone,nov,1
43,-178,9,191,2,unemployed,married,primary,no,yes,no,unknown,may,0
54,3151,18,350,7,housemaid,married,primary,no,no,no,unknown,jun,0
42,1559,30,368,1,technician,married,unknown,no,no,no,cellular,apr,1
34,172,12,237,2,blue-collar,married,secondary,no,no,no,cellular,aug,0
54,417,16,375,2,technician,married,tertiary,no,yes,no,unknown,jun,0
32,3695,15,34,1,self-employed,divorced,tertiary,no,yes,no,cellular,may,0
50,1396,25,731,6,management,married,tertiary,no,no,no,cellular,aug,1
34,283,13,151,2,blue-collar,single,secondary,no,yes,no,cellular,may,0
50,124,14,367,2,admin,divorced,secondary,no,yes,yes,cellular,may,0
47,430,8,89,8,blue-collar,married,primary,no,no,no,unknown,may,0
42,301,17,1175,2,blue-collar,divorced,primary,no,yes,no,cellular,jul,1
50,4,10,200,5,technician,married,secondary,no,no,no,cellular,jul,0
44,776,3,150,1,admin,divorced,secondary,no,yes,no,unknown,jun,0
32,-234,15,24,7,technician,single,secondary,no,yes,no,cellular,may,0
35,126,8,268,1,admin,married,secondary,no,yes,no,cellular,apr,0
27,557,13,466,2,admin,single,secondary,no,yes,no,cellular,may,0
54,-754,19,222,2,blue-collar,married,secondary,no,yes,no,unknown,may,0
33,4996,20,230,1,self-employed,single,tertiary,no,no,no,cellular,nov,0
33,2202,20,372,2,blue-collar,single,secondary,no,yes,no,cellular,apr,0
42,-356,5,97,1,technician,married,secondary,no,yes,yes,cellular,aug,0
40,416,24,55,2,management,married,tertiary,no,yes,no,cellular,jul,0
58,226,14,306,2,blue-collar,married,primary,no,yes,no,cellular,jul,0
33,-363,18,214,2,technician,single,secondary,no,yes,no,cellular,may,0
47,3644,9,83,2,services,single,secondary,no,no,no,unknown,jun,0
39,1135,27,35,1,blue-collar,married,primary,no,yes,no,unknown,may,0
31,2667,2,73,2,management,married,tertiary,no,yes,no,cellular,mar,0
54,401,11,341,1,entrepreneur,married,secondary,yes,yes,no,cellular,may,0
59,479,4,37,5,retired,divorced,secondary,no,no,no,cellular,feb,0
56,109,15,924,4,unemployed,divorced,primary,no,no,no,cellular,jul,0
31,1970,17,284,3,technician,single,secondary,no,no,no,telephone,apr,0
34,618,3,119,4,management,single,tertiary,no,yes,no,unknown,jun,0
40,2014,20,209,5,management,married,tertiary,no,no,no,cellular,aug,0
36,0,20,245,1,technician,married,tertiary,no,no,no,cellular,aug,0
36,687,12,43,1,management,single,tertiary,no,yes,no,cellular,may,0
39,43,15,354,8,blue-collar,married,secondary,no,no,no,cellular,may,0
32,1636,18,124,1,management,married,tertiary,no,yes,no,cellular,nov,0
46,494,26,724,1,blue-collar,married,secondary,no,yes,no,unknown,may,0
35,339,23,317,1,management,married,secondary,no,yes,no,unknown,may,0
33,5437,2,78,1,management,single,tertiary,no,no,no,cellular,feb,0
31,0,6,144,2,admin,married,secondary,no,yes,yes,unknown,may,0
41,4522,28,55,1,management,single,tertiary,no,no,no,cellular,aug,0
27,139,29,144,3,self-employed,single,tertiary,no,no,no,cellular,jan,0
46,678,7,96,3,services,married,secondary,no,no,no,cellular,aug,0
58,331,19,145,4,retired,married,primary,no,yes,no,unknown,may,0
35,3,24,90,1,unemployed,married,primary,no,no,no,cellular,jul,0
34,393,18,172,3,entrepreneur,married,secondary,no,yes,no,cellular,jul,0
47,4480,19,60,2,admin,married,secondary,no,no,no,telephone,nov,0
43,547,9,96,6,blue-collar,married,primary,no,no,yes,unknown,jun,0
39,0,29,218,4,housemaid,married,secondary,no,yes,no,cellular,jul,0
47,150,9,52,1,management,married,unknown,no,no,no,unknown,jun,0
59,-247,26,131,1,technician,married,secondary,no,yes,no,unknown,may,0
44,127,28,273,1,admin,married,primary,no,yes,no,cellular,jan,0
37,285,16,401,2,housemaid,married,secondary,no,no,no,unknown,jun,0
54,22,18,259,3,management,divorced,tertiary,no,no,yes,cellular,jul,0
35,877,15,61,3,services,divorced,tertiary,no,yes,no,cellular,apr,0
55,11743,30,75,1,management,married,secondary,no,yes,no,unknown,may,0
37,83,6,68,1,technician,married,secondary,no,yes,no,cellular,may,0
44,309,5,676,1,management,married,tertiary,no,yes,no,cellular,feb,1
30,296,5,41,7,blue-collar,single,primary,no,no,no,telephone,feb,0
31,664,21,987,3,blue-collar,married,secondary,no,yes,yes,unknown,may,0
35,1693,10,515,1,technician,single,secondary,no,yes,no,cellular,feb,1
35,0,6,154,2,blue-collar,married,primary,no,yes,no,unknown,may,0
35,8127,6,315,1,housemaid,married,primary,no,no,no,unknown,jun,0
33,808,19,12,16,management,married,tertiary,no,yes,no,cellular,aug,0
51,6530,5,91,1,management,married,tertiary,no,yes,no,unknown,may,0
42,444,21,171,1,services,divorced,secondary,no,no,no,cellular,nov,0
59,140,3,239,1,retired,married,unknown,no,no,yes,unknown,jul,0
54,6376,13,274,3,services,married,secondary,no,no,no,cellular,aug,0
43,1517,20,45,1,unknown,married,unknown,no,no,no,unknown,jun,0
47,644,28,54,3,technician,married,secondary,no,no,no,telephone,jan,0
59,602,20,89,3,retired,divorced,secondary,no,no,no,unknown,jun,0
42,1455,2,279,2,blue-collar,married,primary,no,yes,no,cellular,feb,0
38,-242,18,1173,3,technician,single,secondary,no,yes,no,cellular,may,1
35,-215,31,57,34,technician,married,secondary,no,no,yes,cellular,jul,0
58,2126,9,184,1,retired,married,secondary,no,no,no,cellular,apr,0
27,512,3,220,1,entrepreneur,single,tertiary,no,yes,yes,unknown,jun,0
49,0,21,218,1,technician,married,tertiary,no,yes,no,cellular,nov,0
46,864,17,225,3,services,divorced,secondary,no,yes,no,cellular,apr,0
45,4365,9,45,2,blue-collar,married,secondary,no,no,yes,cellular,feb,0
30,4,20,7,2,admin,married,secondary,no,no,no,unknown,jun,0
38,-363,26,101,2,technician,married,tertiary,no,no,no,cellular,aug,0
47,-488,25,65,5,management,married,tertiary,no,yes,no,cellular,jul,0
58,201,10,82,5,technician,married,secondary,no,no,no,cellular,jul,0
59,3096,26,18,17,management,divorced,tertiary,no,no,no,cellular,aug,0
50,0,28,88,3,services,married,secondary,no,yes,no,cellular,jul,0
56,6101,14,422,4,services,divorced,secondary,no,no,no,cellular,apr,0
34,508,30,795,1,technician,married,secondary,no,no,no,cellular,jan,0
33,-297,27,398,3,admin,married,secondary,no,yes,no,unknown,may,0
36,867,14,159,2,management,married,tertiary,no,no,no,cellular,aug,0
43,3049,28,383,2,technician,married,secondary,no,no,no,cellular,jan,0
26,233,25,175,1,technician,married,tertiary,no,yes,no,cellular,jul,0
47,107,15,119,8,student,single,unknown,no,no,no,telephone,jul,0
35,907,8,242,1,blue-collar,single,secondary,no,yes,yes,unknown,may,0
54,104,12,391,1,entrepreneur,divorced,secondary,no,yes,no,unknown,may,0
39,201,13,263,3,admin,married,secondary,no,yes,no,cellular,apr,0
55,653,6,800,1,services,divorced,primary,no,no,no,unknown,jun,0
51,104,9,71,1,blue-collar,divorced,secondary,no,no,no,cellular,jul,0
33,233,29,155,2,services,married,secondary,no,no,no,cellular,aug,0
29,425,5,562,15,self-employed,married,secondary,no,yes,no,unknown,jun,1
48,1499,12,17,7,services,single,primary,no,yes,no,cellular,may,0
29,91,30,99,1,management,single,tertiary,no,no,no,cellular,apr,0
47,3188,3,426,3,unemployed,married,secondary,no,yes,no,cellular,feb,0
43,3060,15,253,2,blue-collar,married,secondary,no,yes,no,unknown,may,0
45,976,2,176,4,self-employed,married,secondary,no,yes,no,unknown,jun,0
30,-306,16,203,1,technician,married,secondary,no,yes,yes,unknown,may,0
34,804,23,256,9,admin,married,secondary,no,yes,no,cellular,jul,0
48,-298,18,77,1,blue-collar,married,primary,no,yes,no,cellular,nov,0
55,953,6,125,3,services,married,secondary,no,yes,yes,cellular,aug,0
30,527,21,265,1,management,married,tertiary,no,yes,yes,unknown,may,0
30,-1049,20,160,2,admin,married,secondary,no,yes,no,unknown,jun,0
37,987,14,306,2,technician,married,secondary,no,yes,yes,cellular,may,0
47,206,7,118,1,blue-collar,married,primary,no,yes,yes,cellular,may,0
27,349,27,165,3,admin,single,secondary,no,yes,no,unknown,may,0
43,18,15,192,3,housemaid,married,primary,no,yes,yes,unknown,may,0
25,402,7,264,1,services,single,secondary,no,no,yes,cellular,jul,0
41,258,7,252,1,blue-collar,married,primary,no,yes,no,unknown,may,0
30,578,4,48,1,blue-collar,married,secondary,no,yes,yes,unknown,jun,0
42,732,20,33,1,blue-collar,married,unknown,no,yes,no,telephone,apr,0
49,315,9,117,2,services,divorced,secondary,no,yes,no,unknown,may,0
42,157,28,136,1,management,married,tertiary,no,yes,yes,cellular,jan,0
33,631,20,51,2,self-employed,married,tertiary,no,no,no,cellular,nov,0
46,836,18,95,1,unemployed,single,secondary,no,no,no,cellular,nov,0
30,320,26,140,1,management,single,tertiary,no,no,no,cellular,may,0
57,753,21,730,8,unemployed,divorced,secondary,no,no,no,cellular,jul,0
33,58,16,144,2,blue-collar,married,secondary,no,no,no,unknown,may,0
47,300,13,103,3,blue-collar,married,primary,no,yes,no,unknown,may,0
53,4641,16,356,2,blue-collar,married,primary,no,no,no,unknown,jun,0
35,108,9,200,4,blue-collar,married,primary,no,yes,no,unknown,may,0
31,75,19,346,1,blue-collar,single,secondary,no,yes,no,unknown,may,0
33,766,28,22,3,services,married,secondary,no,yes,no,cellular,jul,0
47,10179,9,179,2,technician,married,secondary,no,yes,no,unknown,jun,0
39,0,20,332,4,technician,single,secondary,no,no,no,cellular,aug,0
50,284,11,106,1,admin,married,secondary,no,yes,no,cellular,may,0
50,29,20,135,5,retired,married,primary,no,no,no,unknown,jun,0
43,1076,12,223,1,admin,divorced,secondary,no,yes,no,cellular,may,0
59,136,6,301,4,retired,married,secondary,no,no,no,cellular,aug,0
44,3610,29,23,15,blue-collar,married,secondary,no,yes,no,unknown,may,0
24,456,14,337,2,blue-collar,married,primary,no,no,no,cellular,may,0
43,350,6,437,1,admin,married,unknown,no,no,no,unknown,may,0
38,1746,21,139,1,management,single,tertiary,no,yes,no,unknown,may,0
37,140,6,310,1,admin,single,secondary,no,yes,no,unknown,may,0
49,143,6,83,1,blue-collar,single,secondary,no,yes,no,unknown,may,0
35,393,29,150,2,technician,married,tertiary,no,no,no,cellular,aug,0
40,3165,31,77,2,management,married,unknown,no,yes,no,telephone,jul,0
49,702,22,145,7,technician,married,secondary,no,no,no,telephone,aug,0
35,-639,13,427,1,services,single,secondary,no,yes,yes,cellular,may,0
49,364,4,134,1,blue-collar,married,primary,no,no,no,cellular,aug,0
46,836,27,199,4,blue-collar,married,secondary,no,no,no,cellular,aug,0
33,374,2,185,1,technician,single,secondary,no,yes,yes,unknown,jun,0
53,0,7,176,1,admin,single,primary,no,yes,no,cellular,may,0
25,1765,23,135,2,student,single,secondary,no,yes,no,unknown,may,0
58,0,16,204,4,retired,married,primary,no,yes,no,unknown,jun,0
36,96,30,208,1,admin,married,secondary,no,no,no,cellular,apr,1
39,1963,6,100,4,technician,single,secondary,no,yes,no,unknown,jun,0
32,11524,19,289,3,unemployed,married,secondary,no,yes,no,cellular,nov,0
30,2832,18,350,6,technician,single,tertiary,no,no,no,cellular,aug,0
52,98,19,148,1,admin,divorced,secondary,no,no,yes,unknown,jun,0
32,1156,19,81,1,services,divorced,secondary,no,yes,no,cellular,nov,0
40,-438,11,1017,1,blue-collar,married,secondary,no,no,no,cellular,may,1
31,1858,12,453,3,management,single,tertiary,no,no,no,cellular,aug,1
40,193,7,190,1,services,married,secondary,no,yes,yes,cellular,jul,0
51,0,20,179,3,blue-collar,married,secondary,yes,no,yes,unknown,jun,0
29,0,15,218,1,management,married,tertiary,no,yes,yes,cellular,jul,0
42,56,5,215,1,retired,married,secondary,no,yes,no,unknown,may,0
33,6174,28,19,14,management,married,tertiary,no,no,no,cellular,aug,0
35,1368,27,329,1,technician,married,secondary,no,no,no,cellular,may,1
40,0,7,135,1,blue-collar,divorced,secondary,no,yes,no,cellular,may,0
33,0,20,114,1,blue-collar,married,secondary,no,yes,yes,unknown,may,0
29,-420,2,77,3,management,married,secondary,no,yes,no,cellular,feb,0
31,37,5,313,1,services,married,tertiary,no,yes,no,unknown,may,0
38,2978,20,65,2,management,married,tertiary,no,no,yes,unknown,jun,0
61,433,5,346,1,blue-collar,single,primary,no,no,no,cellular,feb,0
59,1986,11,139,1,self-employed,married,secondary,no,no,no,unknown,jun,0
47,-150,14,52,4,services,married,secondary,no,no,no,cellular,aug,0
45,925,6,406,2,admin,married,secondary,no,no,no,cellular,aug,1
30,92,17,78,10,self-employed,divorced,secondary,no,yes,no,unknown,jun,0
33,1636,31,8,25,entrepreneur,married,tertiary,no,no,no,cellular,jul,0
39,0,20,40,1,blue-collar,married,secondary,no,yes,yes,unknown,may,0
36,611,11,126,2,self-employed,married,secondary,no,no,no,cellular,jul,0
30,522,6,197,3,blue-collar,single,secondary,no,no,no,cellular,feb,0
29,1958,9,643,1,blue-collar,single,secondary,no,yes,no,cellular,jul,0
37,-1,7,101,1,management,divorced,tertiary,yes,yes,yes,cellular,may,0
39,834,20,390,1,technician,married,secondary,no,yes,yes,cellular,apr,0
47,-18,21,105,2,technician,married,secondary,no,yes,no,telephone,jul,0
53,137,26,129,1,technician,married,secondary,no,no,yes,unknown,may,0
39,1315,19,1337,4,management,divorced,tertiary,no,yes,no,cellular,nov,0
30,1192,29,83,2,entrepreneur,divorced,tertiary,no,no,no,cellular,jan,0
32,1259,25,184,2,self-employed,single,secondary,no,no,no,cellular,jul,0
27,-3,19,265,5,blue-collar,single,secondary,yes,yes,no,unknown,may,0
27,5,19,205,3,blue-collar,single,secondary,no,yes,no,unknown,may,0
48,709,13,117,2,blue-collar,married,secondary,no,yes,no,cellular,may,0
56,938,3,202,2,entrepreneur,married,secondary,no,no,yes,unknown,jul,0
32,-19,30,97,2,admin,divorced,secondary,no,yes,no,unknown,may,0
55,3485,18,625,4,blue-collar,married,primary,no,no,no,cellular,aug,1
37,614,20,185,1,blue-collar,divorced,secondary,no,yes,no,unknown,may,0
40,312,25,612,7,technician,married,secondary,no,no,no,cellular,may,1
46,-44,22,16,13,blue-collar,married,primary,no,no,yes,telephone,aug,0
39,246,11,86,2,management,married,tertiary,no,no,no,cellular,aug,0
39,530,6,68,1,technician,divorced,secondary,no,yes,yes,cellular,may,0
30,8781,18,898,1,admin,married,secondary,no,yes,no,cellular,nov,1
33,60,9,131,1,blue-collar,divorced,primary,no,no,no,unknown,may,0
37,0,5,79,1,blue-collar,married,primary,no,yes,no,unknown,may,0
34,0,5,150,1,blue-collar,divorced,secondary,no,yes,no,cellular,may,0
27,1390,30,152,1,student,single,tertiary,no,no,no,cellular,apr,0
45,1066,19,124,2,technician,divorced,secondary,no,yes,yes,cellular,nov,0
55,57,21,162,2,management,married,primary,no,no,yes,cellular,jul,0
36,3268,9,429,2,admin,married,secondary,no,no,no,cellular,apr,0
45,871,17,230,5,management,single,tertiary,no,no,no,cellular,jul,0
29,872,7,230,1,student,single,secondary,no,yes,no,unknown,may,0
70,1236,12,58,4,retired,married,unknown,no,no,no,cellular,mar,0
35,73,28,79,2,management,single,secondary,no,yes,no,unknown,may,0
50,3924,20,122,2,blue-collar,married,primary,no,yes,no,cellular,apr,0
38,3436,21,663,4,management,married,tertiary,no,no,no,cellular,nov,1
39,305,7,275,6,management,married,tertiary,no,yes,no,unknown,may,0
33,854,29,93,1,blue-collar,married,secondary,no,yes,yes,cellular,jan,0
26,1275,20,18,9,technician,single,secondary,no,yes,no,unknown,jun,0
37,281,5,869,2,self-employed,single,tertiary,no,yes,no,unknown,jun,0
60,292,2,260,5,services,married,secondary,no,no,yes,cellular,feb,0
32,3154,20,96,2,management,married,tertiary,no,no,no,cellular,apr,0
45,749,15,242,6,blue-collar,divorced,primary,no,yes,no,unknown,may,0
54,2191,31,96,6,self-employed,married,secondary,no,yes,no,telephone,jul,0
33,-331,11,186,2,admin,divorced,secondary,no,yes,yes,cellular,may,0
40,1734,3,123,4,retired,single,secondary,no,yes,no,unknown,jun,0
42,376,8,15,1,blue-collar,married,secondary,no,yes,no,unknown,may,0
27,268,5,188,1,unemployed,single,secondary,no,yes,no,cellular,may,0
40,-2827,31,843,1,technician,married,tertiary,yes,yes,yes,cellular,jul,0
37,311,4,135,1,blue-collar,married,secondary,no,yes,no,unknown,jun,0
54,0,30,255,2,admin,married,primary,no,no,no,cellular,jul,0
50,1604,15,267,5,blue-collar,married,secondary,no,yes,no,unknown,may,0
45,586,28,32,3,technician,single,secondary,no,no,yes,cellular,jul,0
57,411,27,104,3,housemaid,married,primary,no,yes,no,unknown,may,0
33,931,29,263,3,services,married,secondary,no,yes,no,unknown,may,0
29,0,9,121,1,admin,married,secondary,no,yes,no,unknown,may,0
31,0,18,47,1,management,married,tertiary,no,yes,no,cellular,nov,0
59,754,11,225,4,blue-collar,married,primary,no,no,no,cellular,aug,0
34,580,11,228,1,admin,married,secondary,no,yes,yes,cellular,may,0
32,535,27,156,2,technician,single,secondary,no,yes,yes,unknown,may,0
53,109,2,270,1,admin,married,secondary,no,no,no,telephone,jun,1
33,2065,26,241,2,services,married,secondary,no,yes,yes,unknown,may,0
29,213,15,174,1,technician,single,secondary,no,yes,no,cellular,may,0
34,0,22,149,2,blue-collar,married,primary,no,yes,no,cellular,jul,0
59,4399,31,69,8,blue-collar,divorced,primary,no,yes,no,telephone,jul,0
51,9864,26,69,4,management,married,tertiary,no,no,no,cellular,aug,0
23,210,20,507,1,services,single,secondary,no,yes,no,unknown,may,0
36,-185,12,167,2,blue-collar,married,secondary,no,yes,no,cellular,may,0
50,128,19,173,1,services,married,secondary,no,no,no,cellular,aug,0
35,1279,16,114,5,services,married,secondary,no,yes,no,unknown,jun,0
37,3720,28,561,1,technician,married,secondary,no,yes,no,cellular,jan,0
43,-2,9,124,1,management,single,tertiary,no,no,yes,cellular,jul,0
45,0,12,36,3,blue-collar,married,primary,no,yes,yes,cellular,may,0
49,0,29,121,2,management,single,secondary,no,no,no,cellular,aug,0
37,601,30,422,1,self-employed,divorced,tertiary,no,yes,no,unknown,may,0
28,737,27,125,1,student,single,tertiary,no,yes,no,unknown,may,0
53,8,28,201,3,self-employed,divorced,tertiary,no,no,no,cellular,jan,0
38,2813,14,146,2,management,single,tertiary,no,no,no,cellular,aug,0
28,2000,3,226,2,technician,single,secondary,no,no,no,telephone,feb,0
29,957,30,258,2,admin,married,secondary,no,yes,yes,cellular,jan,0
58,928,26,304,1,retired,married,primary,no,no,no,cellular,may,0
56,249,29,791,2,blue-collar,married,secondary,no,yes,no,unknown,may,1
43,474,29,571,1,admin,single,unknown,no,no,no,cellular,jan,0
44,-24,7,564,1,blue-collar,single,primary,no,no,no,telephone,jul,0
40,535,5,11,6,management,married,primary,no,yes,no,telephone,may,0
31,20,28,141,5,management,single,secondary,yes,yes,no,cellular,jul,0
51,965,28,67,1,retired,married,secondary,no,yes,no,cellular,jan,0
53,2272,14,243,1,unknown,divorced,tertiary,no,yes,no,unknown,may,0
27,-90,8,175,1,services,married,primary,no,no,yes,cellular,jul,0
34,53,29,256,2,management,married,tertiary,no,yes,yes,cellular,aug,0
39,481,8,204,1,blue-collar,married,primary,no,yes,no,unknown,may,0
38,275,3,277,2,technician,married,secondary,no,yes,no,cellular,apr,0
54,-415,26,290,2,management,divorced,secondary,no,yes,no,unknown,may,0
59,4445,11,96,7,technician,married,tertiary,no,no,no,unknown,jun,0
57,-40,7,88,1,technician,married,tertiary,no,no,yes,cellular,jul,0
52,584,20,76,18,blue-collar,married,primary,no,yes,no,cellular,aug,0
28,2954,28,149,2,services,single,secondary,no,yes,no,unknown,may,0
36,162,18,69,1,services,divorced,tertiary,no,yes,no,cellular,may,0
43,177,8,209,3,technician,divorced,secondary,no,yes,no,unknown,may,0
39,0,20,191,1,unemployed,married,secondary,no,yes,no,unknown,may,0
53,2925,15,1392,4,services,married,secondary,no,yes,no,unknown,may,0
26,354,16,586,1,technician,single,secondary,no,no,no,cellular,jul,1
32,1249,19,472,1,self-employed,single,tertiary,no,yes,no,cellular,nov,1
30,1309,28,622,1,admin,single,secondary,no,no,no,cellular,jan,1
35,871,6,117,1,blue-collar,single,unknown,no,yes,no,cellular,feb,0
34,-346,13,136,4,technician,married,secondary,no,no,no,cellular,aug,0
49,3972,19,37,2,technician,single,secondary,no,no,no,cellular,nov,0
39,158,6,354,2,services,single,secondary,no,yes,no,unknown,jun,0
35,2080,14,266,3,unemployed,married,secondary,no,yes,no,telephone,apr,0
38,173,28,32,8,management,married,tertiary,no,no,no,cellular,aug,0
37,2055,10,241,4,entrepreneur,married,secondary,no,yes,yes,cellular,jul,0
31,424,29,106,1,technician,single,tertiary,no,no,no,cellular,jan,0
52,234,20,208,1,housemaid,married,secondary,no,no,no,cellular,nov,0
28,1735,20,89,1,blue-collar,single,secondary,no,yes,no,cellular,apr,0
54,473,18,134,6,technician,single,secondary,no,yes,no,cellular,aug,0
49,785,16,190,6,housemaid,married,primary,no,no,no,unknown,jun,0
35,445,13,237,2,blue-collar,married,primary,no,yes,no,cellular,may,0
35,1854,18,401,2,technician,married,secondary,no,yes,no,cellular,nov,0
52,944,12,198,3,admin,divorced,secondary,no,yes,no,unknown,may,0
60,1433,8,124,4,blue-collar,married,secondary,no,no,no,cellular,aug,0
38,-475,10,234,1,technician,married,secondary,no,yes,no,cellular,jul,0
31,6982,21,353,1,blue-collar,single,secondary,no,yes,no,unknown,may,0
41,1934,21,162,2,student,single,secondary,no,yes,no,cellular,nov,0
54,-305,26,280,3,management,married,tertiary,no,yes,no,unknown,may,0
53,1103,22,274,6,housemaid,married,secondary,no,no,no,cellular,jul,0
42,208,27,75,2,admin,married,secondary,no,yes,no,unknown,may,0
39,229,4,238,1,services,divorced,secondary,no,yes,no,cellular,feb,0
25,-80,3,89,1,technician,single,secondary,no,yes,yes,unknown,jun,0
59,1226,6,270,3,unemployed,married,secondary,no,no,no,cellular,feb,0
31,58,21,542,1,blue-collar,single,secondary,no,yes,no,unknown,may,0
27,2153,30,256,6,services,single,secondary,no,yes,no,unknown,may,0
30,46,20,93,4,management,single,secondary,no,no,no,cellular,aug,0
42,1773,9,311,1,management,married,tertiary,no,no,no,cellular,apr,0
50,432,17,329,1,admin,divorced,tertiary,no,yes,no,cellular,apr,0
40,129,12,464,3,admin,married,primary,no,yes,no,cellular,may,0
41,1822,31,391,1,technician,married,secondary,no,no,yes,cellular,jul,0
37,230,6,374,1,management,single,tertiary,no,yes,yes,unknown,may,0
59,1635,12,48,1,blue-collar,married,secondary,no,yes,no,telephone,may,0
45,89,15,175,2,technician,married,secondary,no,yes,no,unknown,may,0
32,1486,21,151,2,management,divorced,tertiary,no,yes,no,cellular,jul,0
27,472,20,144,4,services,married,secondary,no,yes,no,cellular,apr,0
39,1309,10,37,1,blue-collar,married,secondary,no,no,yes,telephone,jul,0
45,1009,19,125,2,self-employed,single,tertiary,no,no,no,cellular,nov,0
54,922,28,123,2,housemaid,married,secondary,no,no,no,telephone,jan,0
35,353,28,17,9,technician,married,secondary,no,no,no,cellular,aug,0
34,490,20,55,12,blue-collar,married,secondary,no,yes,no,unknown,jun,0
52,554,31,44,5,housemaid,married,tertiary,no,no,no,cellular,jul,0
60,1880,15,196,4,admin,married,secondary,no,yes,no,unknown,may,0
49,-1965,10,317,2,entrepreneur,married,secondary,no,no,yes,telephone,jul,0
33,74,29,94,2,technician,married,secondary,no,no,no,cellular,aug,0
52,409,8,137,2,blue-collar,married,secondary,no,no,no,cellular,aug,0
39,3518,8,440,1,management,married,tertiary,no,yes,no,cellular,may,0
27,274,27,283,1,student,single,secondary,no,no,no,cellular,may,0
39,822,29,164,3,technician,single,secondary,no,yes,yes,unknown,may,0
34,3064,17,324,1,management,married,tertiary,no,yes,no,cellular,jul,0
52,204,19,123,2,admin,married,primary,no,no,no,cellular,aug,0
30,940,8,131,2,management,single,tertiary,no,no,no,cellular,aug,0
40,4,27,145,3,technician,married,secondary,yes,no,no,cellular,aug,0
33,3002,28,176,2,technician,married,secondary,no,yes,no,unknown,may,0
34,496,12,105,6,management,married,tertiary,no,no,no,cellular,aug,0
28,270,7,49,2,self-employed,single,tertiary,no,yes,no,cellular,may,0
32,5806,20,1503,2,services,single,secondary,no,yes,no,cellular,nov,1
39,6421,20,661,1,admin,married,secondary,no,no,yes,unknown,may,0
34,0,17,158,2,technician,single,tertiary,no,yes,no,cellular,apr,0
33,0,5,399,2,management,single,tertiary,no,yes,no,telephone,may,0
34,808,26,376,2,management,single,tertiary,no,no,no,cellular,may,0
28,0,26,245,3,blue-collar,married,secondary,no,yes,no,unknown,may,0
50,20,9,95,1,technician,married,secondary,no,yes,no,cellular,jul,0
45,245,30,76,3,technician,divorced,secondary,no,yes,no,cellular,jul,0
50,26,24,179,4,admin,single,secondary,no,no,yes,telephone,jul,0
48,7,5,286,1,self-employed,married,tertiary,no,yes,no,unknown,may,0
48,418,9,102,3,blue-collar,married,primary,no,yes,no,unknown,may,0
52,740,16,206,1,management,married,primary,no,no,no,unknown,jun,0
33,170,7,782,1,services,single,secondary,no,no,no,cellular,jul,1
58,193,13,788,3,retired,married,primary,no,yes,yes,unknown,may,0
51,-267,19,208,2,unemployed,married,secondary,no,no,yes,unknown,jun,0
59,2365,25,159,4,management,married,tertiary,no,no,yes,telephone,jul,0
47,2,24,237,2,services,married,secondary,no,no,no,cellular,jul,0
47,2070,26,136,1,services,married,secondary,no,yes,yes,unknown,may,0
29,627,14,140,2,technician,married,unknown,no,yes,no,cellular,jul,0
